title,description,link,parameters
sklearn.cluster.cluster_optics_dbscan,Perform DBSCAN extraction for an arbitrary epsilon.,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.cluster_optics_dbscan.html,"*,reachability,core_distances,ordering,eps"
sklearn.cluster.affinity_propagation,Perform Affinity Propagation Clustering of data.,https://scikit-learn.org/stable/modules/generated/sklearn.cluster.affinity_propagation.html,"S,*,preference=None,convergence_iter=15,max_iter=200,damping=0.5,copy=True,verbose=False,return_n_iter=False,random_state=None"
sklearn.cluster.SpectralCoclustering,"Spectral Co-Clustering algorithm (Dhillon, 2001).",https://scikit-learn.org/stable/modules/generated/sklearn.cluster.SpectralCoclustering.html,"n_clusters=3,*,svd_method='randomized',n_svd_vecs=None,mini_batch=False,init='k-means++',n_init=10,random_state=None"
sklearn.utils.metaestimators.if_delegate_has_method,Create a decorator for methods that are delegated to a sub-estimator.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.metaestimators.if_delegate_has_method.html,delegate
sklearn.utils.register_parallel_backend,Register a new Parallel backend factory.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.register_parallel_backend.html,"name,factory,make_default=False"
sklearn.utils.parallel_backend,Change the default backend used by Parallel inside a with block.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.parallel_backend.html,"backend,n_jobs=-1,inner_max_num_threads=None,**backend_params"
sklearn.utils.discovery.all_functions,Get a list of all functions from sklearn.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.discovery.all_functions.html,
sklearn.utils.discovery.all_displays,Get a list of all displays from sklearn.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.discovery.all_displays.html,
sklearn.utils.discovery.all_estimators,Get a list of all estimators from sklearn.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.discovery.all_estimators.html,type_filter=None
sklearn.utils.validation.has_fit_parameter,Check whether the estimator’s fit method supports the given parameter.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.validation.has_fit_parameter.html,"estimator,parameter"
sklearn.utils.validation.column_or_1d,"Ravel column or 1d numpy array, else raises an error.",https://scikit-learn.org/stable/modules/generated/sklearn.utils.validation.column_or_1d.html,"y,*,dtype=None,warn=False"
sklearn.utils.validation.check_symmetric,"Make sure that array is 2D, square and symmetric.",https://scikit-learn.org/stable/modules/generated/sklearn.utils.validation.check_symmetric.html,"array,*,tol=1e-10,raise_warning=True,raise_exception=False"
sklearn.utils.validation.check_memory,Check that memory is joblib.Memory-like.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.validation.check_memory.html,memory
sklearn.utils.validation.check_is_fitted,Perform is_fitted validation for estimator.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.validation.check_is_fitted.html,"estimator,attributes=None,*,msg=None,all_or_any=<built-in function all>"
sklearn.utils.random.sample_without_replacement,Sample integers without replacement.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.random.sample_without_replacement.html,
sklearn.utils.sparsefuncs_fast.inplace_csr_row_normalize_l2,Inplace row normalize using the l2 norm,https://scikit-learn.org/stable/modules/generated/sklearn.utils.sparsefuncs_fast.inplace_csr_row_normalize_l2.html,
sklearn.utils.sparsefuncs_fast.inplace_csr_row_normalize_l1,Inplace row normalize using the l1 norm,https://scikit-learn.org/stable/modules/generated/sklearn.utils.sparsefuncs_fast.inplace_csr_row_normalize_l1.html,
sklearn.utils.sparsefuncs.inplace_csr_column_scale,Inplace column scaling of a CSR matrix.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.sparsefuncs.inplace_csr_column_scale.html,"X,scale"
sklearn.utils.sparsefuncs.mean_variance_axis,Compute mean and variance along an axis on a CSR or CSC matrix.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.sparsefuncs.mean_variance_axis.html,"X,axis,weights=None,return_sum_weights=False"
sklearn.utils.sparsefuncs.inplace_swap_column,Swap two columns of a CSC/CSR matrix in-place.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.sparsefuncs.inplace_swap_column.html,"X,m,n"
sklearn.utils.sparsefuncs.inplace_swap_row,Swap two rows of a CSC/CSR matrix in-place.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.sparsefuncs.inplace_swap_row.html,"X,m,n"
sklearn.utils.sparsefuncs.inplace_row_scale,Inplace row scaling of a CSR or CSC matrix.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.sparsefuncs.inplace_row_scale.html,"X,scale"
sklearn.utils.sparsefuncs.inplace_column_scale,Inplace column scaling of a CSC/CSR matrix.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.sparsefuncs.inplace_column_scale.html,"X,scale"
sklearn.utils.sparsefuncs.incr_mean_variance_axis,Compute incremental mean and variance along an axis on a CSR or CSC matrix.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.sparsefuncs.incr_mean_variance_axis.html,"X,*,axis,last_mean,last_var,last_n,weights=None"
sklearn.utils.shuffle,Shuffle arrays or sparse matrices in a consistent way.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.shuffle.html,"*arrays,random_state=None,n_samples=None"
sklearn.utils.safe_sqr,Element wise squaring of array-likes and sparse matrices.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.safe_sqr.html,"X,*,copy=True"
sklearn.utils.safe_mask,Return a mask which is safe to use on X.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.safe_mask.html,"X,mask"
sklearn.utils._safe_indexing,"Return rows, items or columns of X using indices.",https://scikit-learn.org/stable/modules/generated/sklearn.utils._safe_indexing.html,"X,indices,*,axis=0"
sklearn.utils.resample,Resample arrays or sparse matrices in a consistent way.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.resample.html,"*arrays,replace=True,n_samples=None,random_state=None,stratify=None"
sklearn.utils.murmurhash3_32,Compute the 32bit murmurhash3 of key at seed.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.murmurhash3_32.html,
sklearn.utils.multiclass.unique_labels,Extract an ordered array of unique labels.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.multiclass.unique_labels.html,*ys
sklearn.utils.multiclass.is_multilabel,Check if y is in a multilabel format.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.multiclass.is_multilabel.html,y
sklearn.utils.multiclass.type_of_target,Determine the type of data indicated by the target.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.multiclass.type_of_target.html,"y,input_name=''"
sklearn.utils.metaestimators.available_if,An attribute that is available only if check returns a truthy value.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.metaestimators.available_if.html,check
sklearn.utils.indexable,Make arrays indexable for cross-validation.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.indexable.html,*iterables
sklearn.utils.graph.single_source_shortest_path_length,Return the length of the shortest path from source to all reachable nodes.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.graph.single_source_shortest_path_length.html,"graph,source,*,cutoff=None"
sklearn.utils.gen_even_slices,Generator to create n_packs evenly spaced slices going up to n.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.gen_even_slices.html,"n,n_packs,*,n_samples=None"
sklearn.utils.gen_batches,Generator to create slices containing batch_size elements from 0 to n.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.gen_batches.html,"n,batch_size,*,min_batch_size=0"
sklearn.utils.extmath.weighted_mode,Return an array of the weighted modal (most common) value in the passed array.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.extmath.weighted_mode.html,"a,w,*,axis=0"
sklearn.utils.extmath.density,Compute density of a sparse vector.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.extmath.density.html,"w,**kwargs"
sklearn.utils.extmath.fast_logdet,Compute logarithm of determinant of a square matrix.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.extmath.fast_logdet.html,A
sklearn.utils.extmath.randomized_svd,Compute a truncated randomized SVD.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.extmath.randomized_svd.html,"M,n_components,*,n_oversamples=10,n_iter='auto',power_iteration_normalizer='auto',transpose='auto',flip_sign=True,random_state=None,svd_lapack_driver='gesdd'"
sklearn.utils.extmath.randomized_range_finder,Compute an orthonormal matrix whose range approximates the range of A.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.extmath.randomized_range_finder.html,"A,*,size,n_iter,power_iteration_normalizer='auto',random_state=None"
sklearn.utils.extmath.safe_sparse_dot,Dot product that handle the sparse matrix case correctly.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.extmath.safe_sparse_dot.html,"a,b,*,dense_output=False"
sklearn.utils.estimator_html_repr,Build a HTML representation of an estimator.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.estimator_html_repr.html,estimator
sklearn.utils.estimator_checks.parametrize_with_checks,Pytest specific decorator for parametrizing estimator checks.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.estimator_checks.parametrize_with_checks.html,estimators
sklearn.utils.estimator_checks.check_estimator,Check if estimator adheres to scikit-learn conventions.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.estimator_checks.check_estimator.html,"estimator=None,generate_only=False,Estimator='deprecated'"
sklearn.utils.deprecated,Decorator to mark a function or class as deprecated.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.deprecated.html,extra=''
sklearn.utils.class_weight.compute_sample_weight,Estimate sample weights by class for unbalanced datasets.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.class_weight.compute_sample_weight.html,"class_weight,y,*,indices=None"
sklearn.utils.class_weight.compute_class_weight,Estimate class weights for unbalanced datasets.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.class_weight.compute_class_weight.html,"class_weight,*,classes,y"
sklearn.utils.check_random_state,Turn seed into a np.random.RandomState instance.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.check_random_state.html,seed
sklearn.utils.check_consistent_length,Check that all arrays have consistent first dimensions.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.check_consistent_length.html,*arrays
sklearn.utils.check_scalar,Validate scalar parameters type and value.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.check_scalar.html,"x,name,target_type,*,min_val=None,max_val=None,include_boundaries='both'"
sklearn.utils.check_array,"Input validation on an array, list, sparse matrix or similar.",https://scikit-learn.org/stable/modules/generated/sklearn.utils.check_array.html,"array,accept_sparse=False,*,accept_large_sparse=True,dtype='numeric',order=None,copy=False,force_all_finite=True,ensure_2d=True,allow_nd=False,ensure_min_samples=1,ensure_min_features=1,estimator=None,input_name=''"
sklearn.utils.check_X_y,Input validation for standard estimators.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.check_X_y.html,"X,y,accept_sparse=False,*,accept_large_sparse=True,dtype='numeric',order=None,copy=False,force_all_finite=True,ensure_2d=True,allow_nd=False,multi_output=False,ensure_min_samples=1,ensure_min_features=1,y_numeric=False,estimator=None"
sklearn.utils.assert_all_finite,Throw a ValueError if X contains NaN or infinity.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.assert_all_finite.html,"X,*,allow_nan=False,estimator_name=None,input_name=''"
sklearn.utils.as_float_array,Convert an array-like to an array of floats.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.as_float_array.html,"X,*,copy=True,force_all_finite=True"
sklearn.utils.arrayfuncs.min_pos,Find the minimum value of an array over positive values,https://scikit-learn.org/stable/modules/generated/sklearn.utils.arrayfuncs.min_pos.html,
sklearn.utils.Bunch,Container object exposing keys as attributes.,https://scikit-learn.org/stable/modules/generated/sklearn.utils.Bunch.html,**kwargs
sklearn.tree.plot_tree,Plot a decision tree.,https://scikit-learn.org/stable/modules/generated/sklearn.tree.plot_tree.html,"decision_tree,*,max_depth=None,feature_names=None,class_names=None,label='all',filled=False,impurity=True,node_ids=False,proportion=False,rounded=False,precision=3,ax=None,fontsize=None"
sklearn.tree.export_text,Build a text report showing the rules of a decision tree.,https://scikit-learn.org/stable/modules/generated/sklearn.tree.export_text.html,"decision_tree,*,feature_names=None,max_depth=10,spacing=3,decimals=2,show_weights=False"
sklearn.tree.export_graphviz,Export a decision tree in DOT format.,https://scikit-learn.org/stable/modules/generated/sklearn.tree.export_graphviz.html,"decision_tree,out_file=None,*,max_depth=None,feature_names=None,class_names=None,label='all',filled=False,leaves_parallel=False,impurity=True,node_ids=False,proportion=False,rotate=False,rounded=False,special_characters=False,precision=3,fontname='helvetica'"
sklearn.tree.ExtraTreeRegressor,An extremely randomized tree regressor.,https://scikit-learn.org/stable/modules/generated/sklearn.tree.ExtraTreeRegressor.html,"*,criterion='squared_error',splitter='random',max_depth=None,min_samples_split=2,min_samples_leaf=1,min_weight_fraction_leaf=0.0,max_features=1.0,random_state=None,min_impurity_decrease=0.0,max_leaf_nodes=None,ccp_alpha=0.0"
sklearn.tree.ExtraTreeClassifier,An extremely randomized tree classifier.,https://scikit-learn.org/stable/modules/generated/sklearn.tree.ExtraTreeClassifier.html,"*,criterion='gini',splitter='random',max_depth=None,min_samples_split=2,min_samples_leaf=1,min_weight_fraction_leaf=0.0,max_features='sqrt',random_state=None,max_leaf_nodes=None,min_impurity_decrease=0.0,class_weight=None,ccp_alpha=0.0"
sklearn.tree.DecisionTreeRegressor,A decision tree regressor.,https://scikit-learn.org/stable/modules/generated/sklearn.tree.DecisionTreeRegressor.html,"*,criterion='squared_error',splitter='best',max_depth=None,min_samples_split=2,min_samples_leaf=1,min_weight_fraction_leaf=0.0,max_features=None,random_state=None,max_leaf_nodes=None,min_impurity_decrease=0.0,ccp_alpha=0.0"
sklearn.tree.DecisionTreeClassifier,A decision tree classifier.,https://scikit-learn.org/stable/modules/generated/sklearn.tree.DecisionTreeClassifier.html,"*,criterion='gini',splitter='best',max_depth=None,min_samples_split=2,min_samples_leaf=1,min_weight_fraction_leaf=0.0,max_features=None,random_state=None,max_leaf_nodes=None,min_impurity_decrease=0.0,class_weight=None,ccp_alpha=0.0"
sklearn.svm.l1_min_c,Return the lowest bound for C.,https://scikit-learn.org/stable/modules/generated/sklearn.svm.l1_min_c.html,"X,y,*,loss='squared_hinge',fit_intercept=True,intercept_scaling=1.0"
sklearn.svm.SVR,Epsilon-Support Vector Regression.,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVR.html,"*,kernel='rbf',degree=3,gamma='scale',coef0=0.0,tol=0.001,C=1.0,epsilon=0.1,shrinking=True,cache_size=200,verbose=False,max_iter=-1"
sklearn.svm.SVC,C-Support Vector Classification.,https://scikit-learn.org/stable/modules/generated/sklearn.svm.SVC.html,"*,C=1.0,kernel='rbf',degree=3,gamma='scale',coef0=0.0,shrinking=True,probability=False,tol=0.001,cache_size=200,class_weight=None,verbose=False,max_iter=-1,decision_function_shape='ovr',break_ties=False,random_state=None"
sklearn.svm.OneClassSVM,Unsupervised Outlier Detection.,https://scikit-learn.org/stable/modules/generated/sklearn.svm.OneClassSVM.html,"*,kernel='rbf',degree=3,gamma='scale',coef0=0.0,tol=0.001,nu=0.5,shrinking=True,cache_size=200,verbose=False,max_iter=-1"
sklearn.svm.NuSVR,Nu Support Vector Regression.,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVR.html,"*,nu=0.5,C=1.0,kernel='rbf',degree=3,gamma='scale',coef0=0.0,shrinking=True,tol=0.001,cache_size=200,verbose=False,max_iter=-1"
sklearn.svm.NuSVC,Nu-Support Vector Classification.,https://scikit-learn.org/stable/modules/generated/sklearn.svm.NuSVC.html,"*,nu=0.5,kernel='rbf',degree=3,gamma='scale',coef0=0.0,shrinking=True,probability=False,tol=0.001,cache_size=200,class_weight=None,verbose=False,max_iter=-1,decision_function_shape='ovr',break_ties=False,random_state=None"
sklearn.svm.LinearSVR,Linear Support Vector Regression.,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVR.html,"*,epsilon=0.0,tol=0.0001,C=1.0,loss='epsilon_insensitive',fit_intercept=True,intercept_scaling=1.0,dual=True,verbose=0,random_state=None,max_iter=1000"
sklearn.svm.LinearSVC,Linear Support Vector Classification.,https://scikit-learn.org/stable/modules/generated/sklearn.svm.LinearSVC.html,"penalty='l2',loss='squared_hinge',*,dual=True,tol=0.0001,C=1.0,multi_class='ovr',fit_intercept=True,intercept_scaling=1,class_weight=None,verbose=0,random_state=None,max_iter=1000"
sklearn.semi_supervised.SelfTrainingClassifier,Self-training classifier.,https://scikit-learn.org/stable/modules/generated/sklearn.semi_supervised.SelfTrainingClassifier.html,"base_estimator,threshold=0.75,criterion='threshold',k_best=10,max_iter=10,verbose=False"
sklearn.semi_supervised.LabelSpreading,LabelSpreading model for semi-supervised learning.,https://scikit-learn.org/stable/modules/generated/sklearn.semi_supervised.LabelSpreading.html,"kernel='rbf',*,gamma=20,n_neighbors=7,alpha=0.2,max_iter=30,tol=0.001,n_jobs=None"
sklearn.semi_supervised.LabelPropagation,Label Propagation classifier.,https://scikit-learn.org/stable/modules/generated/sklearn.semi_supervised.LabelPropagation.html,"kernel='rbf',*,gamma=20,n_neighbors=7,max_iter=1000,tol=0.001,n_jobs=None"
sklearn.random_projection.johnson_lindenstrauss_min_dim,Find a ‘safe’ number of components to randomly project to.,https://scikit-learn.org/stable/modules/generated/sklearn.random_projection.johnson_lindenstrauss_min_dim.html,"n_samples,*,eps=0.1"
sklearn.random_projection.SparseRandomProjection,Reduce dimensionality through sparse random projection.,https://scikit-learn.org/stable/modules/generated/sklearn.random_projection.SparseRandomProjection.html,"n_components='auto',*,density='auto',eps=0.1,dense_output=False,compute_inverse_components=False,random_state=None"
sklearn.random_projection.GaussianRandomProjection,Reduce dimensionality through Gaussian random projection.,https://scikit-learn.org/stable/modules/generated/sklearn.random_projection.GaussianRandomProjection.html,"n_components='auto',*,eps=0.1,compute_inverse_components=False,random_state=None"
sklearn.preprocessing.power_transform,"Parametric, monotonic transformation to make data more Gaussian-like.",https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.power_transform.html,"X,method='yeo-johnson',*,standardize=True,copy=True"
sklearn.preprocessing.scale,Standardize a dataset along any axis.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.scale.html,"X,*,axis=0,with_mean=True,with_std=True,copy=True"
sklearn.preprocessing.robust_scale,Standardize a dataset along any axis.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.robust_scale.html,"X,*,axis=0,with_centering=True,with_scaling=True,quantile_range=(25.0﹐ 75.0),copy=True,unit_variance=False"
sklearn.preprocessing.quantile_transform,Transform features using quantiles information.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.quantile_transform.html,"X,*,axis=0,n_quantiles=1000,output_distribution='uniform',ignore_implicit_zeros=False,subsample=100000,random_state=None,copy=True"
sklearn.preprocessing.normalize,Scale input vectors individually to unit norm (vector length).,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.normalize.html,"X,norm='l2',*,axis=1,copy=True,return_norm=False"
sklearn.preprocessing.minmax_scale,Transform features by scaling each feature to a given range.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.minmax_scale.html,"X,feature_range=(0﹐ 1),*,axis=0,copy=True"
sklearn.preprocessing.maxabs_scale,"Scale each feature to the [-1, 1] range without breaking the sparsity.",https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.maxabs_scale.html,"X,*,axis=0,copy=True"
sklearn.preprocessing.label_binarize,Binarize labels in a one-vs-all fashion.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.label_binarize.html,"y,*,classes,neg_label=0,pos_label=1,sparse_output=False"
sklearn.preprocessing.binarize,Boolean thresholding of array-like or scipy.sparse matrix.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.binarize.html,"X,*,threshold=0.0,copy=True"
sklearn.preprocessing.add_dummy_feature,Augment dataset with an additional dummy feature.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.add_dummy_feature.html,"X,value=1.0"
sklearn.preprocessing.StandardScaler,Standardize features by removing the mean and scaling to unit variance.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.StandardScaler.html,"*,copy=True,with_mean=True,with_std=True"
sklearn.preprocessing.SplineTransformer,Generate univariate B-spline bases for features.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.SplineTransformer.html,"n_knots=5,degree=3,*,knots='uniform',extrapolation='constant',include_bias=True,order='C'"
sklearn.preprocessing.RobustScaler,Scale features using statistics that are robust to outliers.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.RobustScaler.html,"*,with_centering=True,with_scaling=True,quantile_range=(25.0﹐ 75.0),copy=True,unit_variance=False"
sklearn.preprocessing.QuantileTransformer,Transform features using quantiles information.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.QuantileTransformer.html,"*,n_quantiles=1000,output_distribution='uniform',ignore_implicit_zeros=False,subsample=10000,random_state=None,copy=True"
sklearn.preprocessing.PowerTransformer,Apply a power transform featurewise to make data more Gaussian-like.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.PowerTransformer.html,"method='yeo-johnson',*,standardize=True,copy=True"
sklearn.preprocessing.PolynomialFeatures,Generate polynomial and interaction features.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.PolynomialFeatures.html,"degree=2,*,interaction_only=False,include_bias=True,order='C'"
sklearn.preprocessing.OrdinalEncoder,Encode categorical features as an integer array.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.OrdinalEncoder.html,"*,categories='auto',dtype=<class 'numpy.float64'>,handle_unknown='error',unknown_value=None,encoded_missing_value=nan"
sklearn.preprocessing.OneHotEncoder,Encode categorical features as a one-hot numeric array.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.OneHotEncoder.html,"*,categories='auto',drop=None,sparse='deprecated',sparse_output=True,dtype=<class 'numpy.float64'>,handle_unknown='error',min_frequency=None,max_categories=None"
sklearn.preprocessing.Normalizer,Normalize samples individually to unit norm.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.Normalizer.html,"norm='l2',*,copy=True"
sklearn.preprocessing.MinMaxScaler,Transform features by scaling each feature to a given range.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.MinMaxScaler.html,"feature_range=(0﹐ 1),*,copy=True,clip=False"
sklearn.preprocessing.MaxAbsScaler,Scale each feature by its maximum absolute value.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.MaxAbsScaler.html,"*,copy=True"
sklearn.preprocessing.MultiLabelBinarizer,Transform between iterable of iterables and a multilabel format.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.MultiLabelBinarizer.html,"*,classes=None,sparse_output=False"
sklearn.preprocessing.LabelEncoder,Encode target labels with value between 0 and n_classes-1.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.LabelEncoder.html,
sklearn.preprocessing.LabelBinarizer,Binarize labels in a one-vs-all fashion.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.LabelBinarizer.html,"*,neg_label=0,pos_label=1,sparse_output=False"
sklearn.preprocessing.KernelCenterer,Center an arbitrary kernel matrix \\(K\\).,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.KernelCenterer.html,
sklearn.preprocessing.KBinsDiscretizer,Bin continuous data into intervals.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.KBinsDiscretizer.html,"n_bins=5,*,encode='onehot',strategy='quantile',dtype=None,subsample='warn',random_state=None"
sklearn.preprocessing.FunctionTransformer,Constructs a transformer from an arbitrary callable.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.FunctionTransformer.html,"func=None,inverse_func=None,*,validate=False,accept_sparse=False,check_inverse=True,feature_names_out=None,kw_args=None,inv_kw_args=None"
sklearn.preprocessing.Binarizer,Binarize data (set feature values to 0 or 1) according to a threshold.,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.Binarizer.html,"*,threshold=0.0,copy=True"
sklearn.pipeline.make_union,Construct a FeatureUnion from the given transformers.,https://scikit-learn.org/stable/modules/generated/sklearn.pipeline.make_union.html,"*transformers,n_jobs=None,verbose=False"
sklearn.pipeline.make_pipeline,Construct a Pipeline from the given estimators.,https://scikit-learn.org/stable/modules/generated/sklearn.pipeline.make_pipeline.html,"*steps,memory=None,verbose=False"
sklearn.pipeline.Pipeline,Pipeline of transforms with a final estimator.,https://scikit-learn.org/stable/modules/generated/sklearn.pipeline.Pipeline.html,"steps,*,memory=None,verbose=False"
sklearn.pipeline.FeatureUnion,Concatenates results of multiple transformer objects.,https://scikit-learn.org/stable/modules/generated/sklearn.pipeline.FeatureUnion.html,"transformer_list,*,n_jobs=None,transformer_weights=None,verbose=False"
