title,description,link,parameters
pandas.read_orc,"Load an ORC object from the file path, returning a DataFrame.",https://pandas.pydata.org/docs/reference/api/pandas.read_orc.html,"path,columns=None,**kwargs"
pandas.read_parquet,"Load a parquet object from the file path, returning a DataFrame.",https://pandas.pydata.org/docs/reference/api/pandas.read_parquet.html,"path,engine='auto',columns=None,storage_options=None,use_nullable_dtypes=False,**kwargs"
pandas.read_feather,Load a feather-format object from the file path.,https://pandas.pydata.org/docs/reference/api/pandas.read_feather.html,"path,columns=None,use_threads=True,storage_options=None"
pandas.HDFStore.walk,Walk the pytables group hierarchy for pandas objects.,https://pandas.pydata.org/docs/reference/api/pandas.HDFStore.walk.html,where='/'
pandas.HDFStore.groups,Return a list of all the top-level nodes.,https://pandas.pydata.org/docs/reference/api/pandas.HDFStore.groups.html,
pandas.HDFStore.keys,Return a list of keys corresponding to objects stored in HDFStore.,https://pandas.pydata.org/docs/reference/api/pandas.HDFStore.keys.html,include='pandas'
pandas.HDFStore.info,Print detailed information on the store.,https://pandas.pydata.org/docs/reference/api/pandas.HDFStore.info.html,
pandas.HDFStore.select,"Retrieve pandas object stored in file, optionally based on where criteria.",https://pandas.pydata.org/docs/reference/api/pandas.HDFStore.select.html,"key,where=None,start=None,stop=None,columns=None,iterator=False,chunksize=None,auto_close=False"
pandas.HDFStore.get,Retrieve pandas object stored in file.,https://pandas.pydata.org/docs/reference/api/pandas.HDFStore.get.html,key
pandas.HDFStore.append,Append to Table in file.,https://pandas.pydata.org/docs/reference/api/pandas.HDFStore.append.html,"key,value,format=None,axes=None,index=True,append=True,complib=None,complevel=None,columns=None,min_itemsize=None,nan_rep=None,chunksize=None,expectedrows=None,dropna=None,data_columns=None,encoding=None,errors='strict'"
pandas.HDFStore.put,Store object in HDFStore.,https://pandas.pydata.org/docs/reference/api/pandas.HDFStore.put.html,"key,value,format=None,index=True,append=False,complib=None,complevel=None,min_itemsize=None,nan_rep=None,data_columns=None,encoding=None,errors='strict',track_times=True,dropna=False"
pandas.read_hdf,"Read from the store, close it if we opened it.",https://pandas.pydata.org/docs/reference/api/pandas.read_hdf.html,"path_or_buf,key=None,mode='r',errors='strict',where=None,start=None,stop=None,columns=None,iterator=False,chunksize=None,**kwargs"
pandas.DataFrame.to_xml,Render a DataFrame to an XML document.,https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.to_xml.html,"path_or_buffer=None,index=True,root_name='data',row_name='row',na_rep=None,attr_cols=None,elem_cols=None,namespaces=None,prefix=None,encoding='utf-8',xml_declaration=True,pretty_print=True,parser='lxml',stylesheet=None,compression='infer',storage_options=None"
pandas.read_xml,Read XML document into a DataFrame object.,https://pandas.pydata.org/docs/reference/api/pandas.read_xml.html,"path_or_buffer,*,xpath='./*',namespaces=None,elems_only=False,attrs_only=False,names=None,dtype=None,converters=None,parse_dates=None,encoding='utf-8',parser='lxml',stylesheet=None,iterparse=None,compression='infer',storage_options=None"
pandas.read_html,Read HTML tables into a list of DataFrame objects.,https://pandas.pydata.org/docs/reference/api/pandas.read_html.html,"io,*,match='.+',flavor=None,header=None,index_col=None,skiprows=None,attrs=None,parse_dates=False,thousands='﹐',encoding=None,decimal='.',converters=None,na_values=None,keep_default_na=True,displayed_only=True,extract_links=None"
pandas.io.json.build_table_schema,Create a Table schema from data.,https://pandas.pydata.org/docs/reference/api/pandas.io.json.build_table_schema.html,"data,index=True,primary_key=None,version=True"
pandas.json_normalize,Normalize semi-structured JSON data into a flat table.,https://pandas.pydata.org/docs/reference/api/pandas.json_normalize.html,"data,record_path=None,meta=None,meta_prefix=None,record_prefix=None,errors='raise',sep='.',max_level=None"
pandas.read_json,Convert a JSON string to pandas object.,https://pandas.pydata.org/docs/reference/api/pandas.read_json.html,"path_or_buf,*,orient=None,typ='frame',dtype=None,convert_axes=None,convert_dates=True,keep_default_dates=True,numpy=False,precise_float=False,date_unit=None,encoding=None,encoding_errors='strict',lines=False,chunksize=None,compression='infer',nrows=None,storage_options=None"
pandas.ExcelWriter,,https://pandas.pydata.org/docs/reference/api/pandas.ExcelWriter.html,"path,engine=None,date_format=None,datetime_format=None,mode='w',storage_options=None,if_sheet_exists=None,engine_kwargs=None,**kwargs"
pandas.ExcelFile.parse,Parse specified sheet(s) into a DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.ExcelFile.parse.html,"sheet_name=0,header=0,names=None,index_col=None,usecols=None,squeeze=None,converters=None,true_values=None,false_values=None,skiprows=None,nrows=None,na_values=None,parse_dates=False,date_parser=None,thousands=None,comment=None,skipfooter=0,convert_float=None,mangle_dupe_cols=True,**kwds"
pandas.read_excel,Read an Excel file into a pandas DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.read_excel.html,"io,sheet_name=0,*,header=0,names=None,index_col=None,usecols=None,squeeze=None,dtype=None,engine=None,converters=None,true_values=None,false_values=None,skiprows=None,nrows=None,na_values=None,keep_default_na=True,na_filter=True,verbose=False,parse_dates=False,date_parser=None,thousands=None,decimal='.',comment=None,skipfooter=0,convert_float=None,mangle_dupe_cols=True,storage_options=None"
pandas.read_clipboard,Read text from clipboard and pass to read_csv.,https://pandas.pydata.org/docs/reference/api/pandas.read_clipboard.html,"sep='\\s+',**kwargs"
pandas.read_fwf,Read a table of fixed-width formatted lines into DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.read_fwf.html,"filepath_or_buffer,*,colspecs='infer',widths=None,infer_nrows=100,**kwds"
pandas.read_csv,Read a comma-separated values (csv) file into DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.read_csv.html,"filepath_or_buffer,*,sep=_NoDefault.no_default,delimiter=None,header='infer',names=_NoDefault.no_default,index_col=None,usecols=None,squeeze=None,prefix=_NoDefault.no_default,mangle_dupe_cols=True,dtype=None,engine=None,converters=None,true_values=None,false_values=None,skipinitialspace=False,skiprows=None,skipfooter=0,nrows=None,na_values=None,keep_default_na=True,na_filter=True,verbose=False,skip_blank_lines=True,parse_dates=None,infer_datetime_format=False,keep_date_col=False,date_parser=None,dayfirst=False,cache_dates=True,iterator=False,chunksize=None,compression='infer',thousands=None,decimal='.',lineterminator=None,quotechar='""',quoting=0,doublequote=True,escapechar=None,comment=None,encoding=None,encoding_errors='strict',dialect=None,error_bad_lines=None,warn_bad_lines=None,on_bad_lines=None,delim_whitespace=False,low_memory=True,memory_map=False,float_precision=None,storage_options=None"
pandas.read_table,Read general delimited file into DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.read_table.html,"filepath_or_buffer,*,sep=_NoDefault.no_default,delimiter=None,header='infer',names=_NoDefault.no_default,index_col=None,usecols=None,squeeze=None,prefix=_NoDefault.no_default,mangle_dupe_cols=True,dtype=None,engine=None,converters=None,true_values=None,false_values=None,skipinitialspace=False,skiprows=None,skipfooter=0,nrows=None,na_values=None,keep_default_na=True,na_filter=True,verbose=False,skip_blank_lines=True,parse_dates=False,infer_datetime_format=False,keep_date_col=False,date_parser=None,dayfirst=False,cache_dates=True,iterator=False,chunksize=None,compression='infer',thousands=None,decimal='.',lineterminator=None,quotechar='""',quoting=0,doublequote=True,escapechar=None,comment=None,encoding=None,encoding_errors='strict',dialect=None,error_bad_lines=None,warn_bad_lines=None,on_bad_lines=None,delim_whitespace=False,low_memory=True,memory_map=False,float_precision=None,storage_options=None"
pandas.read_pickle,Load pickled pandas object (or any object) from file.,https://pandas.pydata.org/docs/reference/api/pandas.read_pickle.html,"filepath_or_buffer,compression='infer',storage_options=None"
pandas.util.hash_pandas_object,Return a data hash of the Index/Series/DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.util.hash_pandas_object.html,"obj,index=True,encoding='utf8',hash_key='0123456789123456',categorize=True"
pandas.util.hash_array,"Given a 1d array, return an array of deterministic integers.",https://pandas.pydata.org/docs/reference/api/pandas.util.hash_array.html,"vals,encoding='utf8',hash_key='0123456789123456',categorize=True"
pandas.eval,Evaluate a Python expression as a string using various backends.,https://pandas.pydata.org/docs/reference/api/pandas.eval.html,"expr,parser='pandas',engine=None,truediv=_NoDefault.no_default,local_dict=None,global_dict=None,resolvers=(),level=0,target=None,inplace=False"
pandas.interval_range,Return a fixed frequency IntervalIndex.,https://pandas.pydata.org/docs/reference/api/pandas.interval_range.html,"start=None,end=None,periods=None,freq=None,name=None,closed='right'"
pandas.infer_freq,Infer the most likely frequency given the input index.,https://pandas.pydata.org/docs/reference/api/pandas.infer_freq.html,"index,warn=True"
pandas.timedelta_range,Return a fixed frequency TimedeltaIndex with day as the default.,https://pandas.pydata.org/docs/reference/api/pandas.timedelta_range.html,"start=None,end=None,periods=None,freq=None,name=None,closed=None"
pandas.period_range,Return a fixed frequency PeriodIndex.,https://pandas.pydata.org/docs/reference/api/pandas.period_range.html,"start=None,end=None,periods=None,freq=None,name=None"
pandas.bdate_range,Return a fixed frequency DatetimeIndex with business day as the default.,https://pandas.pydata.org/docs/reference/api/pandas.bdate_range.html,"start=None,end=None,periods=None,freq='B',tz=None,normalize=True,name=None,weekmask=None,holidays=None,closed=_NoDefault.no_default,inclusive=None,**kwargs"
pandas.date_range,Return a fixed frequency DatetimeIndex.,https://pandas.pydata.org/docs/reference/api/pandas.date_range.html,"start=None,end=None,periods=None,freq=None,tz=None,normalize=False,name=None,closed=_NoDefault.no_default,inclusive=None,**kwargs"
pandas.to_timedelta,Convert argument to timedelta.,https://pandas.pydata.org/docs/reference/api/pandas.to_timedelta.html,"arg,unit=None,errors='raise'"
pandas.to_datetime,Convert argument to datetime.,https://pandas.pydata.org/docs/reference/api/pandas.to_datetime.html,"arg,errors='raise',dayfirst=False,yearfirst=False,utc=None,format=None,exact=True,unit=None,infer_datetime_format=False,origin='unix',cache=True"
pandas.to_numeric,Convert argument to a numeric type.,https://pandas.pydata.org/docs/reference/api/pandas.to_numeric.html,"arg,errors='raise',downcast=None"
pandas.notnull,Detect non-missing values for an array-like object.,https://pandas.pydata.org/docs/reference/api/pandas.notnull.html,obj
pandas.notna,Detect non-missing values for an array-like object.,https://pandas.pydata.org/docs/reference/api/pandas.notna.html,obj
pandas.isnull,Detect missing values for an array-like object.,https://pandas.pydata.org/docs/reference/api/pandas.isnull.html,obj
pandas.isna,Detect missing values for an array-like object.,https://pandas.pydata.org/docs/reference/api/pandas.isna.html,obj
pandas.wide_to_long,Unpivot a DataFrame from wide to long format.,https://pandas.pydata.org/docs/reference/api/pandas.wide_to_long.html,"df,stubnames,i,j,sep='',suffix='\\d+'"
pandas.unique,Return unique values based on a hash table.,https://pandas.pydata.org/docs/reference/api/pandas.unique.html,values
pandas.factorize,Encode the object as an enumerated type or categorical variable.,https://pandas.pydata.org/docs/reference/api/pandas.factorize.html,"values,sort=False,na_sentinel=_NoDefault.no_default,use_na_sentinel=_NoDefault.no_default,size_hint=None"
pandas.from_dummies,Create a categorical DataFrame from a DataFrame of dummy variables.,https://pandas.pydata.org/docs/reference/api/pandas.from_dummies.html,"data,sep=None,default_category=None"
pandas.get_dummies,Convert categorical variable into dummy/indicator variables.,https://pandas.pydata.org/docs/reference/api/pandas.get_dummies.html,"data,prefix=None,prefix_sep='_',dummy_na=False,columns=None,sparse=False,drop_first=False,dtype=None"
pandas.concat,Concatenate pandas objects along a particular axis.,https://pandas.pydata.org/docs/reference/api/pandas.concat.html,"objs,*,axis=0,join='outer',ignore_index=False,keys=None,levels=None,names=None,verify_integrity=False,sort=False,copy=True"
pandas.merge_asof,Perform a merge by key distance.,https://pandas.pydata.org/docs/reference/api/pandas.merge_asof.html,"left,right,on=None,left_on=None,right_on=None,left_index=False,right_index=False,by=None,left_by=None,right_by=None,suffixes=('_x'﹐ '_y'),tolerance=None,allow_exact_matches=True,direction='backward'"
pandas.merge_ordered,Perform a merge for ordered data with optional filling/interpolation.,https://pandas.pydata.org/docs/reference/api/pandas.merge_ordered.html,"left,right,on=None,left_on=None,right_on=None,left_by=None,right_by=None,fill_method=None,suffixes=('_x'﹐ '_y'),how='outer'"
pandas.merge,Merge DataFrame or named Series objects with a database-style join.,https://pandas.pydata.org/docs/reference/api/pandas.merge.html,"left,right,how='inner',on=None,left_on=None,right_on=None,left_index=False,right_index=False,sort=False,suffixes=('_x'﹐ '_y'),copy=True,indicator=False,validate=None"
pandas.qcut,Quantile-based discretization function.,https://pandas.pydata.org/docs/reference/api/pandas.qcut.html,"x,q,labels=None,retbins=False,precision=3,duplicates='raise'"
pandas.cut,Bin values into discrete intervals.,https://pandas.pydata.org/docs/reference/api/pandas.cut.html,"x,bins,right=True,labels=None,retbins=False,precision=3,include_lowest=False,duplicates='raise',ordered=True"
pandas.crosstab,Compute a simple cross tabulation of two (or more) factors.,https://pandas.pydata.org/docs/reference/api/pandas.crosstab.html,"index,columns,values=None,rownames=None,colnames=None,aggfunc=None,margins=False,margins_name='All',dropna=True,normalize=False"
pandas.pivot_table,Create a spreadsheet-style pivot table as a DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.pivot_table.html,"data,values=None,index=None,columns=None,aggfunc='mean',fill_value=None,margins=False,dropna=True,margins_name='All',observed=False,sort=True"
pandas.pivot,Return reshaped DataFrame organized by given index / column values.,https://pandas.pydata.org/docs/reference/api/pandas.pivot.html,"data,*,index=None,columns=None,values=None"
pandas.melt,"Unpivot a DataFrame from wide to long format, optionally leaving identifiers set.",https://pandas.pydata.org/docs/reference/api/pandas.melt.html,"frame,id_vars=None,value_vars=None,var_name=None,value_name='value',col_level=None,ignore_index=True"
pandas.Series.to_latex,"Render object to a LaTeX tabular, longtable, or nested table.",https://pandas.pydata.org/docs/reference/api/pandas.Series.to_latex.html,"buf=None,columns=None,col_space=None,header=True,index=True,na_rep='NaN',formatters=None,float_format=None,sparsify=None,index_names=True,bold_rows=False,column_format=None,longtable=None,escape=None,encoding=None,decimal='.',multicolumn=None,multicolumn_format=None,multirow=None,caption=None,label=None,position=None"
pandas.Series.to_clipboard,Copy object to the system clipboard.,https://pandas.pydata.org/docs/reference/api/pandas.Series.to_clipboard.html,"excel=True,sep=None,**kwargs"
pandas.Series.to_string,Render a string representation of the Series.,https://pandas.pydata.org/docs/reference/api/pandas.Series.to_string.html,"buf=None,na_rep='NaN',float_format=None,header=True,index=True,length=False,dtype=False,name=False,max_rows=None,min_rows=None"
pandas.Series.to_json,Convert the object to a JSON string.,https://pandas.pydata.org/docs/reference/api/pandas.Series.to_json.html,"path_or_buf=None,orient=None,date_format=None,double_precision=10,force_ascii=True,date_unit='ms',default_handler=None,lines=False,compression='infer',index=True,indent=None,storage_options=None"
pandas.Series.to_sql,Write records stored in a DataFrame to a SQL database.,https://pandas.pydata.org/docs/reference/api/pandas.Series.to_sql.html,"name,con,schema=None,if_exists='fail',index=True,index_label=None,chunksize=None,dtype=None,method=None"
pandas.Series.to_hdf,Write the contained data to an HDF5 file using HDFStore.,https://pandas.pydata.org/docs/reference/api/pandas.Series.to_hdf.html,"path_or_buf,key,mode='a',complevel=None,complib=None,append=False,format=None,index=True,min_itemsize=None,nan_rep=None,dropna=None,data_columns=None,errors='strict',encoding='UTF-8'"
pandas.Series.to_xarray,Return an xarray object from the pandas object.,https://pandas.pydata.org/docs/reference/api/pandas.Series.to_xarray.html,
pandas.Series.to_frame,Convert Series to DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.Series.to_frame.html,name=_NoDefault.no_default
pandas.Series.to_excel,Write object to an Excel sheet.,https://pandas.pydata.org/docs/reference/api/pandas.Series.to_excel.html,"excel_writer,sheet_name='Sheet1',na_rep='',float_format=None,columns=None,header=True,index=True,index_label=None,startrow=0,startcol=0,engine=None,merge_cells=True,encoding=_NoDefault.no_default,inf_rep='inf',verbose=_NoDefault.no_default,freeze_panes=None,storage_options=None"
pandas.Series.to_dict,Convert Series to {label -> value} dict or dict-like object.,https://pandas.pydata.org/docs/reference/api/pandas.Series.to_dict.html,into=<class 'dict'>
pandas.Series.to_csv,Write object to a comma-separated values (csv) file.,https://pandas.pydata.org/docs/reference/api/pandas.Series.to_csv.html,"path_or_buf=None,sep='﹐',na_rep='',float_format=None,columns=None,header=True,index=True,index_label=None,mode='w',encoding=None,compression='infer',quoting=None,quotechar='""',lineterminator=None,chunksize=None,date_format=None,doublequote=True,escapechar=None,decimal='.',errors='strict',storage_options=None"
pandas.Series.to_pickle,Pickle (serialize) object to file.,https://pandas.pydata.org/docs/reference/api/pandas.Series.to_pickle.html,"path,compression='infer',protocol=5,storage_options=None"
pandas.Series.hist,Draw histogram of the input series using matplotlib.,https://pandas.pydata.org/docs/reference/api/pandas.Series.hist.html,"by=None,ax=None,grid=True,xlabelsize=None,xrot=None,ylabelsize=None,yrot=None,figsize=None,bins=10,backend=None,legend=False,**kwargs"
pandas.Series.plot.pie,Generate a pie plot.,https://pandas.pydata.org/docs/reference/api/pandas.Series.plot.pie.html,**kwargs
pandas.Series.plot.line,Plot Series or DataFrame as lines.,https://pandas.pydata.org/docs/reference/api/pandas.Series.plot.line.html,"x=None,y=None,**kwargs"
pandas.Series.plot.kde,Generate Kernel Density Estimate plot using Gaussian kernels.,https://pandas.pydata.org/docs/reference/api/pandas.Series.plot.kde.html,"bw_method=None,ind=None,**kwargs"
pandas.Series.plot.hist,Draw one histogram of the DataFrame’s columns.,https://pandas.pydata.org/docs/reference/api/pandas.Series.plot.hist.html,"by=None,bins=10,**kwargs"
pandas.Series.plot.density,Generate Kernel Density Estimate plot using Gaussian kernels.,https://pandas.pydata.org/docs/reference/api/pandas.Series.plot.density.html,"bw_method=None,ind=None,**kwargs"
pandas.Series.plot.box,Make a box plot of the DataFrame columns.,https://pandas.pydata.org/docs/reference/api/pandas.Series.plot.box.html,"by=None,**kwargs"
pandas.Series.plot.barh,Make a horizontal bar plot.,https://pandas.pydata.org/docs/reference/api/pandas.Series.plot.barh.html,"x=None,y=None,**kwargs"
pandas.Series.plot.bar,Vertical bar plot.,https://pandas.pydata.org/docs/reference/api/pandas.Series.plot.bar.html,"x=None,y=None,**kwargs"
pandas.Series.plot.area,Draw a stacked area plot.,https://pandas.pydata.org/docs/reference/api/pandas.Series.plot.area.html,"x=None,y=None,**kwargs"
pandas.Series.plot,Make plots of Series or DataFrame.,https://pandas.pydata.org/docs/reference/api/pandas.Series.plot.html,"*args,**kwargs"
pandas.Series.attrs,,https://pandas.pydata.org/docs/reference/api/pandas.Series.attrs.html,
pandas.Series.sparse.to_coo,Create a scipy.sparse.coo_matrix from a Series with MultiIndex.,https://pandas.pydata.org/docs/reference/api/pandas.Series.sparse.to_coo.html,"row_levels=(0﹐),column_levels=(1﹐),sort_labels=False"
pandas.Series.sparse.from_coo,Create a Series with sparse values from a scipy.sparse.coo_matrix.,https://pandas.pydata.org/docs/reference/api/pandas.Series.sparse.from_coo.html,"A,dense_index=False"
pandas.Series.sparse.sp_values,,https://pandas.pydata.org/docs/reference/api/pandas.Series.sparse.sp_values.html,
pandas.Series.sparse.fill_value,,https://pandas.pydata.org/docs/reference/api/pandas.Series.sparse.fill_value.html,
pandas.Series.sparse.density,,https://pandas.pydata.org/docs/reference/api/pandas.Series.sparse.density.html,
pandas.Series.sparse.npoints,,https://pandas.pydata.org/docs/reference/api/pandas.Series.sparse.npoints.html,
pandas.Series.cat.as_unordered,Set the Categorical to be unordered.,https://pandas.pydata.org/docs/reference/api/pandas.Series.cat.as_unordered.html,"*args,**kwargs"
pandas.Series.cat.as_ordered,Set the Categorical to be ordered.,https://pandas.pydata.org/docs/reference/api/pandas.Series.cat.as_ordered.html,"*args,**kwargs"
pandas.Series.cat.set_categories,Set the categories to the specified new_categories.,https://pandas.pydata.org/docs/reference/api/pandas.Series.cat.set_categories.html,"*args,**kwargs"
pandas.Series.cat.remove_unused_categories,Remove categories which are not used.,https://pandas.pydata.org/docs/reference/api/pandas.Series.cat.remove_unused_categories.html,"*args,**kwargs"
pandas.Series.cat.remove_categories,Remove the specified categories.,https://pandas.pydata.org/docs/reference/api/pandas.Series.cat.remove_categories.html,"*args,**kwargs"
pandas.Series.cat.add_categories,Add new categories.,https://pandas.pydata.org/docs/reference/api/pandas.Series.cat.add_categories.html,"*args,**kwargs"
pandas.Series.cat.reorder_categories,Reorder categories as specified in new_categories.,https://pandas.pydata.org/docs/reference/api/pandas.Series.cat.reorder_categories.html,"*args,**kwargs"
pandas.Series.cat.rename_categories,Rename categories.,https://pandas.pydata.org/docs/reference/api/pandas.Series.cat.rename_categories.html,"*args,**kwargs"
pandas.Series.cat.codes,,https://pandas.pydata.org/docs/reference/api/pandas.Series.cat.codes.html,
pandas.Series.cat.ordered,,https://pandas.pydata.org/docs/reference/api/pandas.Series.cat.ordered.html,
pandas.Series.cat.categories,,https://pandas.pydata.org/docs/reference/api/pandas.Series.cat.categories.html,
pandas.Series.str.get_dummies,Return DataFrame of dummy/indicator variables for Series.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.get_dummies.html,sep='|'
pandas.Series.str.isdecimal,Check whether all characters in each string are decimal.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.isdecimal.html,
pandas.Series.str.isnumeric,Check whether all characters in each string are numeric.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.isnumeric.html,
pandas.Series.str.istitle,Check whether all characters in each string are titlecase.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.istitle.html,
pandas.Series.str.isupper,Check whether all characters in each string are uppercase.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.isupper.html,
pandas.Series.str.islower,Check whether all characters in each string are lowercase.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.islower.html,
pandas.Series.str.isspace,Check whether all characters in each string are whitespace.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.isspace.html,
pandas.Series.str.isdigit,Check whether all characters in each string are digits.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.isdigit.html,
pandas.Series.str.isalpha,Check whether all characters in each string are alphabetic.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.isalpha.html,
pandas.Series.str.isalnum,Check whether all characters in each string are alphanumeric.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.isalnum.html,
pandas.Series.str.zfill,Pad strings in the Series/Index by prepending ‘0’ characters.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.zfill.html,width
pandas.Series.str.wrap,Wrap strings in Series/Index at specified line width.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.wrap.html,"width,**kwargs"
pandas.Series.str.upper,Convert strings in the Series/Index to uppercase.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.upper.html,
pandas.Series.str.translate,Map all characters in the string through the given mapping table.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.translate.html,table
pandas.Series.str.title,Convert strings in the Series/Index to titlecase.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.title.html,
pandas.Series.str.swapcase,Convert strings in the Series/Index to be swapcased.,https://pandas.pydata.org/docs/reference/api/pandas.Series.str.swapcase.html,
